编号,片段名,文本,语言,中文,answer,selected_model,available_models,source_text_check,target_language_check
50018,电视剧1 EP10,"Sejak awak digelar sebagai gundik, saya asyik sibuk dengan banyak urusan.",马来语,自你封嫔那日后一直被繁杂的事务耽搁了,"Sejak hari awak dilantik sebagai gundik, saya sentiasa tertangguh oleh pelbagai urusan.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",自你封嫔那日后一直被繁杂的事务耽搁了,马来语
50019,电视剧1 EP10,"Hari ini, baru saya dapat bersembang dengan awak.",马来语,今天才有空和你好好聊聊天,Hari ini baru saya ada masa untuk berbual-bual dengan awak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",今天才有空和你好好聊聊天,马来语
50020,电视剧1 EP10,"Sejak hari itu, adakah Gundik Jing dan Gundik Zhao menyusahkan awak lagi?",马来语,那日过后静嫔赵嫔她们没有再为难你吧,"Selepas hari itu, adakah Gundik Jing dan Gundik Zhao menyusahkan awak lagi?",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",那日过后静嫔赵嫔她们没有再为难你吧,马来语
50021,电视剧1 EP10,"Dengan bantuan Puan Wei, mereka tak susahkan saya lagi.",马来语,多亏了魏贵妃再也没有了,"Terima kasih kepada Gundik Besar Wei, ia sudah tiada lagi.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",多亏了魏贵妃再也没有了,马来语
50022,电视剧1 EP10,Tak perlu berkira dengan mereka.,马来语,犯不着和她们计较,Tak berbaloi berkira dengan mereka.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",犯不着和她们计较,马来语
50023,电视剧1 EP10,Jangan panggil saya puan.,马来语,你不要叫得这么生分,Jangan panggil saya begitu formal.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你不要叫得这么生分,马来语
50024,电视剧1 EP10,Kita ialah adik-beradik.,马来语,以后我们就以姐妹相称,"Mulai sekarang, kita akan menjadi adik-beradik angkat.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",以后我们就以姐妹相称,马来语
50025,电视剧1 EP10,Anggaplah ini sebagai hadiah kakak kerana awak dilantik sebagai gundik.,马来语,就当是姐姐庆祝你封嫔的贺礼,Anggaplah ini sebagai hadiah daripada kakak untuk meraikan penganugerahan gelaran gundik kepada awak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",就当是姐姐庆祝你封嫔的贺礼,马来语
50026,电视剧1 EP10,Ini jepit rambut kegemaran puan yang dikurniakan maharaja.,马来语,这可是皇上赏赐给您的您最喜欢的一根珠钗啊,Inilah cucuk rambut mutiara kegemaran tuan yang dikurniakan oleh maharaja!,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这可是皇上赏赐给您的您最喜欢的一根珠钗啊,马来语
50027,电视剧1 EP10,Saya dan adik sungguh rapat.,马来语,我与妹妹难得投缘,Jarang sekali saya dan adik saya begitu serasi.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我与妹妹难得投缘,马来语
50028,电视剧1 EP10,Ini cuma jepit rambut.,马来语,不就是一根珠钗嘛,Bukankah itu cuma sebatang cucuk sanggul mutiara?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",不就是一根珠钗嘛,马来语
50029,电视剧1 EP10,"Terima kasih, Puan Wei.",马来语,多谢魏贵妃,"Terima kasih, Gundik Besar Wei.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",多谢魏贵妃,马来语
50030,电视剧1 EP10,Awak panggil saya puan lagi?,马来语,你还叫我什么,Awak panggil saya apa lagi?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你还叫我什么,马来语
50031,电视剧1 EP10,"Jika waktu ini boleh dihentikan, bukankah ia baik?",马来语,要是时间真的能停在这一刻那多好啊,Alangkah baiknya jika masa benar-benar dapat berhenti pada saat ini.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",要是时间真的能停在这一刻那多好啊,马来语
50032,电视剧1 EP10,Bila awak pulang?,马来语,什么时候回来的,Bila awak balik?,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",什么时候回来的,马来语
50033,电视剧1 EP10,Saya datang selepas turun kapal terbang.,马来语,今早飞机刚落地就来了,"Pagi ini, saya terus datang sebaik sahaja pesawat mendarat.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",今早飞机刚落地就来了,马来语
50034,电视剧1 EP10,Dingin sangat Encik Li.,马来语,我们李总这么冷漠呀,Encik Li kita begitu dingin ya.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我们李总这么冷漠呀,马来语
50035,电视剧1 EP10,Saya sudah pulang.,马来语,我回来你就一句,Itu sahaja yang awak cakap selepas saya balik?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我回来你就一句,马来语
50036,电视剧1 EP10,"Awak cuma kata ""Awak bersusah payah"".",马来语,辛苦了打发我,Terima kasih kerana bersusah payah menghiburkan saya.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",辛苦了打发我,马来语
50037,电视剧1 EP10,Tiada pelukan yang menyambut saya.,马来语,都没有个欢迎的拥抱,Tiada pelukan selamat datang pun.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",都没有个欢迎的拥抱,马来语
50038,电视剧1 EP10,Awak seakan-akan balik rumah sahaja.,马来语,你回来就相当于回家,Kepulangan awak sama seperti pulang ke rumah.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你回来就相当于回家,马来语
50039,电视剧1 EP10,Tak perlu menyambut awak.,马来语,也不需要欢迎了吧,Tak perlu dialu-alukan lagi.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",也不需要欢迎了吧,马来语
50040,电视剧1 EP10,Cepatnya Cik Wei pulang.,马来语,魏总这么快就回来了,Cepatnya Encik Wei balik.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",魏总这么快就回来了,马来语
50041,电视剧1 EP10,Cepat?,马来语,怎么就快了,Mengapa begitu cepat?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",怎么就快了,马来语
50042,电视剧1 EP10,Awak tak tahu bahawa Cik Wei mencapai KPI sebanyak setahun.,马来语,你是不知道年初魏总领的可是一年的关键绩效指标,"Awak tak tahu bahawa pada awal tahun, Ketua Wei menetapkan petunjuk prestasi utama sepanjang tahun.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",你是不知道年初魏总领的可是一年的关键绩效指标,马来语
50043,电视剧1 EP10,Dia sudah mengawalkan satu musim.,马来语,这可整整提前了一个季度,Ini lebih awal selama satu suku tahun.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这可整整提前了一个季度,马来语
50044,电视剧1 EP10,Saya sudah dengar bahawa Cik Wei cantik dan hebat.,马来语,我早就听说魏总才貌双全,Saya sudah lama dengar Encik Wei bukan sahaja berbakat tetapi juga tampan.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",我早就听说魏总才貌双全,马来语
50045,电视剧1 EP10,Tak sangka inilah benar.,马来语,没想到今日一见真的是这样,"Tak sangka bila dah jumpa hari ini, memang betul begini rupanya.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",没想到今日一见真的是这样,马来语
50046,电视剧1 EP10,Entah pertunangannya dengan Encik Li sejak kecil adalah benar atau tidak.,马来语,也不知道她跟李总的娃娃亲到底是真的还是假的,Saya pun tak tahu sama ada perjodohan zaman kanak-kanak antara dia dengan Encik Li itu betul atau tidak.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",也不知道她跟李总的娃娃亲到底是真的还是假的,马来语
50047,电视剧1 EP10,"Tolong senyap, semua.",马来语,大家安静一下,"Semua, diam sekejap.",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",大家安静一下,马来语
50048,电视剧1 EP10,Bersedia untuk bermesyuarat.,马来语,准备开会了,Bersedia untuk mesyuarat.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",准备开会了,马来语
50049,电视剧1 EP10,Saya akan umumkan beberapa perkara.,马来语,宣布几个事情,Saya ingin mengumumkan beberapa perkara.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",宣布几个事情,马来语
50050,电视剧1 EP10,"Kebelakangan ini, syarikat baru menyiapkan pengambilan besar.",马来语,最近公司刚刚完成了一轮大型招聘,"Baru-baru ini, syarikat baru sahaja menyelesaikan satu pusingan pengambilan pekerja secara besar-besaran.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",最近公司刚刚完成了一轮大型招聘,马来语
50051,电视剧1 EP10,Pasukan Bahagian Sumber Manusia ketiga menunjukkan prestasi cemerlang dalam aktiviti ini.,马来语,人事部三组在这次活动中表现得非常出色,Pasukan ketiga Jabatan Sumber Manusia telah menunjukkan prestasi yang sangat cemerlang dalam acara kali ini.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",人事部三组在这次活动中表现得非常出色,马来语
50052,电视剧1 EP10,"Selain itu, perkara terpenting di Bahagian Sumber Manusia ialah latihan pekerja baharu dan perubahan jawatan di dalam syarikat.",马来语,另外接下来人事部最重要的工作就是新员工的培训以及公司内部岗位的调动,"Selain itu, kerja paling penting Bahagian Sumber Manusia seterusnya ialah latihan pekerja baru dan pertukaran jawatan dalam syarikat.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",另外接下来人事部最重要的工作就是新员工的培训以及公司内部岗位的调动,马来语
50053,电视剧1 EP10,Kebetulan Cik Wei sudah pulang.,马来语,魏总刚好已经回来了,Encik Wei kebetulan sudah pulang.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",魏总刚好已经回来了,马来语
50054,电视剧1 EP10,"Mulai sekarang, operasi dalaman masih diserahkan kepada dia.",马来语,以后公司内部运营还是交给她负责,"Kelak, operasi dalaman syarikat tetap diserahkan kepadanya.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",以后公司内部运营还是交给她负责,马来语
50055,电视剧1 EP10,"Encik Li, boleh saya cakap sesuatu?",马来语,李总 我可以说两句吗,"Encik Li, bolehkah saya bercakap sedikit?",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",李总 我可以说两句吗,马来语
50056,电视剧2 EP12,Ketua Shen Du daripada Jabatan Pengawal Diraja?,马来语,内卫府大阁领沈渡,Ketua Besar Shen Du dari Jabatan Pengawal Diraja,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",内卫府大阁领沈渡,马来语
50057,电视剧2 EP12,"The commander of Imperial Guard, Shen Du.",英语,内卫府大阁领沈渡,"Shen Du, Chief Commander of the Imperial Guard",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",内卫府大阁领沈渡,英语
50058,电视剧2 EP12,Dialah suami kepada Cik Xing.,马来语,他是六娘的夫君啊,Dia ialah suami Cik Xing.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",他是六娘的夫君啊,马来语
50059,电视剧2 EP12,He is Xing's husband.,英语,他是六娘的夫君啊,He is Xing's husband.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",他是六娘的夫君啊,英语
50060,电视剧2 EP12,Dengarnya isteri Ketua Shen dipukul lagi hari ini.,马来语,听说那大阁领夫人今天又挨打了,"Dengar kata, isteri Ketua Shen dipukul lagi hari ini.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",听说那大阁领夫人今天又挨打了,马来语
50061,电视剧2 EP12,I heard the wife of IG Commander got beat up again today.,英语,听说那大阁领夫人今天又挨打了,I heard that Lady Shen got beaten up again today.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",听说那大阁领夫人今天又挨打了,英语
50062,电视剧2 EP12,Kakinya tempang apabila dia keluar.,马来语,出门那腿都是瘸的,Keluar rumah pun jalan tempang.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",出门那腿都是瘸的,马来语
50063,电视剧2 EP12,She left with a limp.,英语,出门那腿都是瘸的,He was limping when he left.,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",出门那腿都是瘸的,英语
50064,电视剧2 EP12,Ya. Dahinya sudah bengkak.,马来语,是啊那额头啊肿了一大块,Ya. Dahi itu bengkak besar.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",是啊那额头啊肿了一大块,马来语
50065,电视剧2 EP12,"Yeah, her forehead is swollen quite a bit.",英语,是啊那额头啊肿了一大块,"Yeah, there's a big bump on the forehead.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",是啊那额头啊肿了一大块,英语
50066,电视剧2 EP12,Dia berkahwin dengan Utusan Hantu Putih. Dia pasti tak bahagia.,马来语,嫁给白无常能讨得了好吗,Berkahwin dengan Utusan Hantu Putih boleh membawa kebaikan?,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",嫁给白无常能讨得了好吗,马来语
50067,电视剧2 EP12,Can she truly find happiness by marrying White Death?,英语,嫁给白无常能讨得了好吗,What good can come from marrying the White Death?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",嫁给白无常能讨得了好吗,英语
50068,电视剧2 EP12,"Cik Xing. Sudah lama kita berkenalan. Setelah saya tahu bahawa awak sudah berkahwin, saya tak patut mengganggu awak lagi.",马来语,六娘你我鸿雁相交多时闻你嫁为人妇本不该再打扰,"Xing, kita sudah lama berkawan melalui surat. Setelah mendengar awak sudah berkahwin, sepatutnya saya tak patut mengganggu awak lagi.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",六娘你我鸿雁相交多时闻你嫁为人妇本不该再打扰,马来语
50069,电视剧2 EP12,"Xing, we have shared much, and your wedding should bring me joy.",英语,六娘你我鸿雁相交多时闻你嫁为人妇本不该再打扰,"Xing, we've corresponded like wild geese for so long. Now that I've heard you're married, I really shouldn't disturb you anymore.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",六娘你我鸿雁相交多时闻你嫁为人妇本不该再打扰,英语
50070,电视剧2 EP12,"Namun, bagaimana saya nak bertenang apabila awak berkahwin dengan Utusan Hantu Putih yang jahat itu?",马来语,可叫我如何能放心你嫁给那恶名昭彰的白无常,Bagaimana saya boleh tenang membiarkan awak berkahwin dengan Utusan Hantu Putih yang terkenal jahat itu?,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",可叫我如何能放心你嫁给那恶名昭彰的白无常,马来语
50071,电视剧2 EP12,But the thought of you marrying the notorious White Death troubles me deeply.,英语,可叫我如何能放心你嫁给那恶名昭彰的白无常,How can I ever rest easy knowing you're marrying that notorious White Death?,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",可叫我如何能放心你嫁给那恶名昭彰的白无常,英语
50072,电视剧2 EP12,Kenapa ini?,马来语,这是怎么了,Apa yang berlaku?,dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这是怎么了,马来语
50073,电视剧2 EP12,What's the matter?,英语,这是怎么了,What's going on?,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这是怎么了,英语
50074,电视剧2 EP12,"Selepas Ketua Shen pulang, dia terus bertinju di halaman belakang. Dia belum makan malam sampai sekarang.",马来语,大阁领自回府之后就在后院一直打拳到现在还没用晚膳呢,"Sejak pulang ke kediaman, Ketua Shen asyik berlatih seni mempertahankan diri di halaman belakang dan masih belum makan malam sehingga sekarang.",dev_gp_en_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",大阁领自回府之后就在后院一直打拳到现在还没用晚膳呢,马来语
50075,电视剧2 EP12,"Since my lord returned, he's been in the training of martial arts, and hasn't had dinner yet.",英语,大阁领自回府之后就在后院一直打拳到现在还没用晚膳呢,Chief Shen has been practicing martial arts in the backyard ever since returning to the residence and hasn't had dinner yet.,dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",大阁领自回府之后就在后院一直打拳到现在还没用晚膳呢,英语
50076,电视剧2 EP12,Akhirnya puan pulang.,马来语,夫人 您可回来了,"Puan, akhirnya puan pulang.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",夫人 您可回来了,马来语
50077,电视剧2 EP12,"My lady, you're finally back.",英语,夫人 您可回来了,"Madam, you're finally back!",dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",夫人 您可回来了,英语
50078,电视剧2 EP12,Lekas pergi ke halaman belakang.,马来语,您快去后院吧,Awak cepat pergi ke halaman belakang.,dev_4o_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",您快去后院吧,马来语
50079,电视剧2 EP12,You should head to the backyard.,英语,您快去后院吧,Please go to the backyard quickly.,dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",您快去后院吧,英语
50080,电视剧2 EP12,"Dua hari ini, Ketua Shen menyediakan makanan untuk puan di kediaman.",马来语,这两日大阁领每日都在府上准备好茶点等您,"Dua hari ini, Ketua Shen menyediakan teh dan kuih-muih di kediamannya sambil menunggu kedatangan tuan.",dev_p2_t0_rag_context_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这两日大阁领每日都在府上准备好茶点等您,马来语
50081,电视剧2 EP12,"For the past few days, the Commander has been at home, preparing tea and snacks for you.",英语,这两日大阁领每日都在府上准备好茶点等您,"These past two days, Chief Shen has been preparing tea and snacks at the residence every day, waiting for you.",dev_p2_t0_rag_30shot,"dev_gp_en_30shot,dev_4o_30shot,dev_p2_t0_rag_30shot,dev_p2_t0_rag_context_30shot",这两日大阁领每日都在府上准备好茶点等您,英语
