编号,片段名,文本,语言,中文,label,音频路径,answer
52035,电视剧1 EP10,,马来语,我非常认可您的看法,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_22,420_00_05_24,060_chinesetts.wav",
52036,电视剧1 EP10,,马来语,可是有的时候经验和能力不一定成正比,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_24,460_00_05_27,820_chinesetts.wav",
52037,电视剧1 EP10,,马来语,有时候吃的只是一个机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_28,540_00_05_30,020_chinesetts.wav",
52038,电视剧1 EP10,,马来语,你的意思是我没给你机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_31,860_00_05_34,420_chinesetts.wav",
52039,电视剧1 EP10,,马来语,娇娇当然不是这个意思,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_34,900_00_05_36,420_chinesetts.wav",
52040,电视剧1 EP10,,马来语,我们公司会给每一个优秀的年轻人机会,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_36,940_00_05_39,980_chinesetts.wav",
52041,电视剧1 EP10,,马来语,许特助走了那您的助理,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_42,100_00_05_44,700_chinesetts.wav",
52042,电视剧1 EP10,,马来语,让何皎皎试试吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_45,900_00_05_46,980_chinesetts.wav",
52043,电视剧1 EP10,,马来语,他不是说没给他机会吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_47,780_00_05_49,020_chinesetts.wav",
52044,电视剧1 EP10,,马来语,魏总你觉得呢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_49,580_00_05_51,220_chinesetts.wav",
52045,电视剧1 EP10,,马来语,李总的决定我都双手支持,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_51,780_00_05_53,540_chinesetts.wav",
52046,电视剧1 EP10,,马来语,何皎皎能胜任吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_54,500_00_05_56,740_chinesetts.wav",
52047,电视剧1 EP10,,马来语,多谢魏总和李总的信任,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_57,460_00_05_59,100_chinesetts.wav",
52048,电视剧1 EP10,,马来语,可是我的经验不足,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_05_59,100_00_06_01,020_chinesetts.wav",
52049,电视剧1 EP10,,马来语,作为助理的话也不是太会照顾人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_01,020_00_06_03,620_chinesetts.wav",
52050,电视剧1 EP10,,马来语,而且徐特助跟了您这么多年,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_04,020_00_06_05,500_chinesetts.wav",
52051,电视剧1 EP10,,马来语,你们想听听我的意见吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_08,220_00_06_11,060_chinesetts.wav",
52052,电视剧1 EP10,,马来语,许特助你有意见许特助你有意见,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_12,420_00_06_14,540_chinesetts.wav",
52053,电视剧1 EP10,,马来语,不敢不敢不敢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_16,340_00_06_17,460_chinesetts.wav",
52054,电视剧1 EP10,,马来语,你想清楚了再跟我打,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_19,140_00_06_20,540_chinesetts.wav",
52055,电视剧1 EP10,,马来语,这次招聘的事情我听李总说了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_36,460_00_06_38,900_chinesetts.wav",
52056,电视剧1 EP10,,马来语,助理的事呢你不用太担心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_41,420_00_06_43,540_chinesetts.wav",
52057,电视剧1 EP10,,马来语,李总看起来很严肃但其实他是一个挺好的人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_44,060_00_06_47,220_chinesetts.wav",
52058,电视剧1 EP10,,马来语,不过你要实在担心的话你也可以随时和我说,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_48,660_00_06_53,220_chinesetts.wav",
52059,电视剧1 EP10,,马来语,以后也别叫我王总了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_53,980_00_06_54,980_chinesetts.wav",
52060,电视剧1 EP10,,马来语,叫我雅涵姐吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_55,180_00_06_56,220_chinesetts.wav",
52061,电视剧1 EP10,,马来语,多谢魏总关心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_56,780_00_06_57,740_chinesetts.wav",
52062,电视剧1 EP10,,马来语,你那有事你就先去忙,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_06_59,460_00_07_00,820_chinesetts.wav",
52063,电视剧1 EP10,,马来语,好拜拜微信,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_01,380_00_07_03,220_chinesetts.wav",
52064,电视剧1 EP10,,马来语,外层好温柔啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_06,180_00_07_07,580_chinesetts.wav",
52065,电视剧1 EP10,,马来语,这个好看吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_11,540_00_07_12,780_chinesetts.wav",
52066,电视剧1 EP10,,马来语,可是姐姐找我有事,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_18,220_00_07_19,740_chinesetts.wav",
52067,电视剧1 EP10,,马来语,贵妃娘娘请您去朝日宫一叙,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_20,580_00_07_22,740_chinesetts.wav",
52068,电视剧1 EP10,,马来语,走吧小松子,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_24,580_00_07_25,500_chinesetts.wav",
52069,电视剧1 EP10,,马来语,把我亲手做的茯苓糕带上,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_25,500_00_07_27,060_chinesetts.wav",
52070,电视剧1 EP10,,马来语,给姐姐尝尝,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_27,340_00_07_27,860_chinesetts.wav",
52071,电视剧1 EP10,,马来语,你要不再梳妆打扮一番,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_29,540_00_07_31,660_chinesetts.wav",
52072,电视剧1 EP10,,马来语,我们家娘娘听说你已经好几日没见过皇上了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_34,060_00_07_37,660_chinesetts.wav",
52073,电视剧1 EP10,,马来语,他要求皇上一同前去抓他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_38,180_00_07_40,580_chinesetts.wav",
52074,电视剧1 EP10,,马来语,姐姐待我可真是太好了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_42,260_00_07_43,860_chinesetts.wav",
52075,电视剧1 EP10,,马来语,太好了小主,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_48,860_00_07_49,740_chinesetts.wav",
52076,电视剧1 EP10,,马来语,现在你也醒了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_53,900_00_07_55,460_chinesetts.wav",
52077,电视剧1 EP10,,马来语,给皇上请安,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_58,380_00_07_59,500_chinesetts.wav",
52078,电视剧1 EP10,,马来语,给贵妃娘娘请安,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_07_59,500_00_08_00,620_chinesetts.wav",
52079,电视剧1 EP10,,马来语,没想到你们两个关系倒是亲密,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_04,340_00_08_07,100_chinesetts.wav",
52080,电视剧1 EP10,,马来语,正好那就一同赏花吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_07,620_00_08_09,940_chinesetts.wav",
52081,电视剧1 EP10,,马来语,我和妹妹一见如故,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_11,420_00_08_13,020_chinesetts.wav",
52082,电视剧1 EP10,,马来语,皇上喜欢妹妹,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_13,580_00_08_14,980_chinesetts.wav",
52083,电视剧1 EP10,,马来语,我自然也喜欢他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_14,980_00_08_16,420_chinesetts.wav",
52084,电视剧1 EP10,,马来语,您看这远,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_18,100_00_08_19,220.wav",
52085,电视剧1 EP10,,马来语,还有什么想法,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_19,220_00_08_20,460_chinesetts.wav",
52086,电视剧1 EP10,,马来语,臣妾才疏学浅看不懂,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_28,780_00_08_32,300_chinesetts.wav",
52087,电视剧1 EP10,,马来语,想到什么就说什么,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_33,460_00_08_34,660_chinesetts.wav",
52088,电视剧1 EP10,,马来语,这幅画挺漂亮的,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_36,620_00_08_42,220_chinesetts.wav",
52089,电视剧1 EP10,,马来语,还有还有他画的好,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_47,460_00_08_51,660_chinesetts.wav",
52090,电视剧1 EP10,,马来语,这是全朝最负盛名的画家黄可凡的真迹,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_53,820_00_08_57,420_chinesetts.wav",
52091,电视剧1 EP10,,马来语,到了你的嘴里都是显得有些俗气了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_08_58,020_00_09_01,140_chinesetts.wav",
52092,电视剧1 EP10,,马来语,皇上您何必生气,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_01,420_00_09_03,700_chinesetts.wav",
52093,电视剧1 EP10,,马来语,明月妹妹小时候没念过什么书,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_03,980_00_09_06,260_chinesetts.wav",
52094,电视剧1 EP10,,马来语,鉴赏不来也是正常,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_06,460_00_09_08,020_chinesetts.wav",
52095,电视剧1 EP10,,马来语,您又何必苛责他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_08,420_00_09_09,820_chinesetts.wav",
52096,电视剧1 EP10,,马来语,还是臣妾来陪你赏画吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_10,380_00_09_12,380_chinesetts.wav",
52097,电视剧1 EP10,,马来语,这唐大家的真气果然不同凡响,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_14,340_00_09_17,180_chinesetts.wav",
52098,电视剧1 EP10,,马来语,您看这眼神,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_18,100_00_09_19,260_chinesetts.wav",
52099,电视剧1 EP10,,马来语,普通人画眼线往往用淡墨而他却反其道而行之,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_19,780_00_09_24,700_chinesetts.wav",
52100,电视剧1 EP10,,马来语,把远处的山脉用浓墨重彩表现出来,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_24,780_00_09_27,900_chinesetts.wav",
52101,电视剧1 EP10,,马来语,可谓是以先观天地而天地尽在心中,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_28,460_00_09_33,260_chinesetts.wav",
52102,电视剧1 EP10,,马来语,不愧是朕的爱妃,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_37,620_00_09_38,900_chinesetts.wav",
52103,电视剧1 EP10,,马来语,行了你们继续,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_41,620_00_09_43,900_chinesetts.wav",
52104,电视剧1 EP10,,马来语,姐姐对不起,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_56,540_00_09_58,020_chinesetts.wav",
52105,电视剧1 EP10,,马来语,你一个好一个无情啊我却破坏了你和皇上的雅兴,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_09_58,700_00_10_02,460_chinesetts.wav",
52106,电视剧1 EP10,,马来语,姐姐你不可能这样对我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_13,300_00_10_15,180_chinesetts.wav",
52107,电视剧1 EP10,,马来语,你既然已经猜到了为什么还要如此天真,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_15,180_00_10_18,620_chinesetts.wav",
52108,电视剧1 EP10,,马来语,真是好手段啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_20,900_00_10_22,220_chinesetts.wav",
52109,电视剧1 EP10,,马来语,你几番搭救我刻意接近我就是为了了解我的弱点是吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_23,820_00_10_29,780_chinesetts.wav",
52110,电视剧1 EP10,,马来语,你深知我出身平凡不懂绘画更别提鉴赏了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_31,140_00_10_35,820_chinesetts.wav",
52111,电视剧1 EP10,,马来语,今天你让我过来就是为了让皇上对我心生厌恶,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_37,420_00_10_41,740_chinesetts.wav",
52112,电视剧1 EP10,,马来语,妹妹果真有一颗七巧玲珑的心啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_42,100_00_10_44,580_chinesetts.wav",
52113,电视剧1 EP10,,马来语,天下熙熙皆为利来,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_46,420_00_10_48,820_chinesetts.wav",
52114,电视剧1 EP10,,马来语,这皇宫里什么都有就是不可能有真正的姐妹情谊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_51,020_00_10_56,900_chinesetts.wav",
52115,电视剧1 EP10,,马来语,我定会谨记贵妃娘娘说的话,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_10_58,740_00_11_01,340_chinesetts.wav",
52116,电视剧1 EP10,,马来语,这就回去好好反思,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_02,460_00_11_03,980_chinesetts.wav",
52117,电视剧1 EP10,,马来语,您为什么提议让他去接替呢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_13,340_00_11_15,580_chinesetts.wav",
52118,电视剧1 EP10,,马来语,就他现在的资历根本就不可能辅佐海外业务,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_17,060_00_11_21,220_chinesetts.wav",
52119,电视剧1 EP10,,马来语,我一开始就想让他做你说的做你,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_21,620_00_11_23,700_chinesetts.wav",
52120,电视剧1 EP10,,马来语,以你说的性格他根本就不会喜欢上一个不够优秀的人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_25,900_00_11_30,020_chinesetts.wav",
52121,电视剧1 EP10,,马来语,而他对待工作又十分的严苛,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_30,540_00_11_32,940_chinesetts.wav",
52122,电视剧1 EP10,,马来语,处理并不好做,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_33,180_00_11_34,260_chinesetts.wav",
52123,电视剧1 EP10,,马来语,喝酒就没有经验,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_34,700_00_11_36,420_chinesetts.wav",
52124,电视剧1 EP10,,马来语,再加上我的推波助澜他犯错是必然,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_36,420_00_11_39,540_chinesetts.wav",
52125,电视剧1 EP10,,马来语,而他一旦犯错礼数就会打从心底里真正的厌恶他,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_39,900_00_11_44,060_chinesetts.wav",
52126,电视剧1 EP10,,马来语,这才叫杀人诛心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_44,540_00_11_46,980_chinesetts.wav",
52127,电视剧1 EP10,,马来语,可他万一真的拒绝做苦力呢,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_47,140_00_11_49,180_chinesetts.wav",
52128,电视剧1 EP10,,马来语,你觉得李素有可能会喜欢一个连挑战都不敢接受的女人吗,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_50,100_00_11_54,580_chinesetts.wav",
52129,电视剧1 EP10,,马来语,魏总您真是太厉害了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_56,180_00_11_58,380_chinesetts.wav",
52130,电视剧1 EP10,,马来语,随随便便就给他设了一个死局,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_11_58,980_00_12_01,700_chinesetts.wav",
52131,电视剧1 EP10,,马来语,大叔你也才下班呐,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_06,180_00_12_08,540_chinesetts.wav",
52132,电视剧1 EP10,,马来语,你怎么突然这么叫我,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_09,660_00_12_11,260_chinesetts.wav",
52133,电视剧1 EP10,,马来语,我小时候不就这么叫你的,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_11,620_00_12_13,260_chinesetts.wav",
52134,电视剧1 EP10,,马来语,下班了就随意点嘛,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_13,780_00_12_15,580_chinesetts.wav",
52135,电视剧1 EP10,,马来语,怎么样送我回家吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_17,020_00_12_19,100_chinesetts.wav",
52136,电视剧1 EP10,,马来语,拜托你可是真想念,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_21,620_00_12_24,300_chinesetts.wav",
52137,电视剧1 EP10,,马来语,你不会让我自己开车回去吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_24,300_00_12_26,140_chinesetts.wav",
52138,电视剧1 EP10,,马来语,好走吧,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_30,340_00_12_31,060_chinesetts.wav",
52139,电视剧1 EP10,,马来语,终于知道为什么魏雅涵要捧杀我了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_44,380_00_12_46,620_chinesetts.wav",
52140,电视剧1 EP10,,马来语,没想到都二十一世纪了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_47,420_00_12_49,020_chinesetts.wav",
52141,电视剧1 EP10,,马来语,他还在跟我抢男人,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_49,300_00_12_50,620_chinesetts.wav",
52142,电视剧1 EP10,,马来语,李总早上好啊,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_12_56,100_00_12_57,580_chinesetts.wav",
52143,电视剧1 EP10,,马来语,助理的事情你不用担心,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_01,380_00_13_03,260_chinesetts.wav",
52144,电视剧1 EP10,,马来语,要是不愿意的话可以,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_04,140_00_13_05,180_chinesetts.wav",
52145,电视剧1 EP10,,马来语,李总我已经准备好了,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_05,180_00_13_06,700_chinesetts.wav",
52146,电视剧1 EP10,,马来语,今天是我作为助理上任的第一天,测试集a,"/alg_2025_audios_final/电视剧1 EP10/电视剧1 EP10_00_13_07,020_00_13_09,020_chinesetts.wav",
